Pgen,Pgenn,Temperature,Selection,Population,days since spawned,Tank,Compa No,Dish,egg number,hatched eggs,total_alive,Hatch_Pr,Incubation density,Pr_Alive
F5,5,H,C,HTC6,3,Tank6,6.3,6.3F5,4,53,57,0.815384615,213,0.267605634
F5,5,H,C,HTC6,4,Tank6,6.3,6.3F5,0,55,55,0.964912281,213,0.258215962
CG1,6,L,C,LTC1,0,Tank2,2.1,2.1CG1,868,0,868,0,868,1
CG1,6,L,C,LTC1,1,Tank2,2.1,2.1CG1,575,0,575,0,868,0.662442396
CG1,6,L,C,LTC1,2,Tank2,2.1,2.1CG1,532,1,533,0.00173913,868,0.6140553
CG1,6,L,C,LTC1,3,Tank2,2.1,2.1CG1,302,135,437,0.253283302,868,0.503456221
CG1,6,L,C,LTC1,4,Tank2,2.1,2.1CG1,8,433,441,0.990846682,868,0.508064516
CG1,6,L,C,LTC1,5,Tank2,2.1,2.1CG1,0,441,441,1,868,0.508064516
CG1,6,L,G,LTG1,0,Tank2,2.2,2.2CG1,473,0,473,0,473,1
CG1,6,L,G,LTG1,1,Tank2,2.2,2.2CG1,317,0,317,0,473,0.670190275
CG1,6,L,G,LTG1,2,Tank2,2.2,2.2CG1,315,0,315,0,473,0.665961945
CG1,6,L,G,LTG1,3,Tank2,2.2,2.2CG1,233,66,299,0.20952381,473,0.632135307
CG1,6,L,G,LTG1,4,Tank2,2.2,2.2CG1,58,241,299,0.806020067,473,0.632135307
CG1,6,L,G,LTG1,5,Tank2,2.2,2.2CG1,1,286,287,0.956521739,473,0.606765328
CG1,6,L,S,LTS1,0,Tank2,2.3,2.3CG1,409,0,409,0,409,1
CG1,6,L,S,LTS1,1,Tank2,2.3,2.3CG1,262,0,262,0,409,0.640586797
CG1,6,L,S,LTS1,2,Tank2,2.3,2.3CG1,221,1,222,0.003816794,409,0.542787286
CG1,6,L,S,LTS1,3,Tank2,2.3,2.3CG1,154,27,181,0.121621622,409,0.442542787
CG1,6,L,S,LTS1,4,Tank2,2.3,2.3CG1,59,122,181,0.674033149,409,0.442542787
CG1,6,L,S,LTS1,5,Tank2,2.3,2.3CG1,14,167,181,0.922651934,409,0.442542787
CG1,6,L,G,LTG2,0,Tank4,4.1,4.1CG1,668,0,668,0,668,1
CG1,6,L,G,LTG2,1,Tank4,4.1,4.1CG1,268,0,268,0,668,0.401197605
CG1,6,L,G,LTG2,2,Tank4,4.1,4.1CG1,203,0,203,0,668,0.303892216
CG1,6,L,G,LTG2,3,Tank4,4.1,4.1CG1,179,15,194,0.073891626,668,0.290419162
CG1,6,L,G,LTG2,4,Tank4,4.1,4.1CG1,51,131,182,0.675257732,668,0.27245509
CG1,6,L,G,LTG2,5,Tank4,4.1,4.1CG1,0,182,182,1,668,0.27245509
CG1,6,L,C,LTC2,0,Tank4,4.2,4.2CG1,675,0,675,0,675,1
CG1,6,L,C,LTC2,1,Tank4,4.2,4.2CG1,487,0,487,0,675,0.721481481
CG1,6,L,C,LTC2,2,Tank4,4.2,4.2CG1,394,0,394,0,675,0.583703704
CG1,6,L,C,LTC2,3,Tank4,4.2,4.2CG1,355,32,387,0.081218274,675,0.573333333
CG1,6,L,C,LTC2,4,Tank4,4.2,4.2CG1,56,293,349,0.757105943,675,0.517037037
CG1,6,L,C,LTC2,5,Tank4,4.2,4.2CG1,3,339,342,0.971346705,675,0.506666667
CG1,6,L,S,LTS2,0,Tank4,4.3,4.3CG1,528,0,528,0,528,1
